Date,Ball,X
105/08/12,X1,8
105/08/12,X2,35
105/08/12,X3,43
105/08/12,X4,33
105/08/12,X5,20
105/08/12,X6,42
105/08/12,S,10
105/08/09,X1,15
105/08/09,X2,37
105/08/09,X3,35
105/08/09,X4,17
105/08/09,X5,45
105/08/09,X6,30
105/08/09,S,41
105/08/05,X1,27
105/08/05,X2,40
105/08/05,X3,2
105/08/05,X4,35
105/08/05,X5,22
105/08/05,X6,1
105/08/05,S,33
105/08/02,X1,15
105/08/02,X2,4
105/08/02,X3,20
105/08/02,X4,22
105/08/02,X5,28
105/08/02,X6,29
105/08/02,S,1
105/07/29,X1,28
105/07/29,X2,9
105/07/29,X3,27
105/07/29,X4,15
105/07/29,X5,30
105/07/29,X6,41
105/07/29,S,13
105/07/26,X1,35
105/07/26,X2,41
105/07/26,X3,19
105/07/26,X4,22
105/07/26,X5,9
105/07/26,X6,15
105/07/26,S,37
105/07/22,X1,17
105/07/22,X2,10
105/07/22,X3,33
105/07/22,X4,2
105/07/22,X5,49
105/07/22,X6,27
105/07/22,S,15
105/07/19,X1,7
105/07/19,X2,46
105/07/19,X3,40
105/07/19,X4,33
105/07/19,X5,45
105/07/19,X6,13
105/07/19,S,39
105/07/15,X1,29
105/07/15,X2,24
105/07/15,X3,25
105/07/15,X4,35
105/07/15,X5,33
105/07/15,X6,38
105/07/15,S,49
105/07/12,X1,42
105/07/12,X2,31
105/07/12,X3,46
105/07/12,X4,43
105/07/12,X5,25
105/07/12,X6,34
105/07/12,S,5
105/07/08,X1,13
105/07/08,X2,10
105/07/08,X3,9
105/07/08,X4,19
105/07/08,X5,35
105/07/08,X6,23
105/07/08,S,38
105/07/05,X1,9
105/07/05,X2,17
105/07/05,X3,40
105/07/05,X4,6
105/07/05,X5,15
105/07/05,X6,47
105/07/05,S,24
105/07/01,X1,41
105/07/01,X2,34
105/07/01,X3,20
105/07/01,X4,43
105/07/01,X5,24
105/07/01,X6,8
105/07/01,S,32
105/06/28,X1,25
105/06/28,X2,46
105/06/28,X3,45
105/06/28,X4,8
105/06/28,X5,39
105/06/28,X6,7
105/06/28,S,38
105/06/24,X1,17
105/06/24,X2,14
105/06/24,X3,39
105/06/24,X4,41
105/06/24,X5,27
105/06/24,X6,28
105/06/24,S,18
105/06/21,X1,36
105/06/21,X2,27
105/06/21,X3,2
105/06/21,X4,49
105/06/21,X5,35
105/06/21,X6,34
105/06/21,S,26
105/06/17,X1,17
105/06/17,X2,21
105/06/17,X3,31
105/06/17,X4,10
105/06/17,X5,7
105/06/17,X6,20
105/06/17,S,49
105/06/14,X1,33
105/06/14,X2,12
105/06/14,X3,37
105/06/14,X4,35
105/06/14,X5,13
105/06/14,X6,16
105/06/14,S,18
105/06/10,X1,23
105/06/10,X2,4
105/06/10,X3,48
105/06/10,X4,22
105/06/10,X5,15
105/06/10,X6,13
105/06/10,S,3
105/06/07,X1,5
105/06/07,X2,39
105/06/07,X3,31
105/06/07,X4,8
105/06/07,X5,44
105/06/07,X6,23
105/06/07,S,19
105/06/03,X1,10
105/06/03,X2,3
105/06/03,X3,41
105/06/03,X4,33
105/06/03,X5,27
105/06/03,X6,44
105/06/03,S,7
105/05/31,X1,1
105/05/31,X2,46
105/05/31,X3,32
105/05/31,X4,5
105/05/31,X5,2
105/05/31,X6,45
105/05/31,S,43
105/05/27,X1,2
105/05/27,X2,24
105/05/27,X3,13
105/05/27,X4,39
105/05/27,X5,9
105/05/27,X6,16
105/05/27,S,41
105/05/24,X1,8
105/05/24,X2,21
105/05/24,X3,13
105/05/24,X4,33
105/05/24,X5,39
105/05/24,X6,6
105/05/24,S,45
105/05/20,X1,40
105/05/20,X2,25
105/05/20,X3,43
105/05/20,X4,10
105/05/20,X5,5
105/05/20,X6,30
105/05/20,S,26
105/05/17,X1,2
105/05/17,X2,42
105/05/17,X3,3
105/05/17,X4,20
105/05/17,X5,23
105/05/17,X6,34
105/05/17,S,40
105/05/13,X1,10
105/05/13,X2,31
105/05/13,X3,35
105/05/13,X4,38
105/05/13,X5,22
105/05/13,X6,3
105/05/13,S,37
105/05/10,X1,36
105/05/10,X2,38
105/05/10,X3,22
105/05/10,X4,3
105/05/10,X5,4
105/05/10,X6,8
105/05/10,S,7
105/05/06,X1,26
105/05/06,X2,48
105/05/06,X3,1
105/05/06,X4,42
105/05/06,X5,39
105/05/06,X6,37
105/05/06,S,41
105/05/03,X1,40
105/05/03,X2,1
105/05/03,X3,7
105/05/03,X4,17
105/05/03,X5,43
105/05/03,X6,41
105/05/03,S,33
105/04/29,X1,8
105/04/29,X2,27
105/04/29,X3,36
105/04/29,X4,31
105/04/29,X5,14
105/04/29,X6,40
105/04/29,S,3
105/04/26,X1,12
105/04/26,X2,6
105/04/26,X3,34
105/04/26,X4,43
105/04/26,X5,21
105/04/26,X6,25
105/04/26,S,28
105/04/22,X1,48
105/04/22,X2,33
105/04/22,X3,46
105/04/22,X4,19
105/04/22,X5,12
105/04/22,X6,23
105/04/22,S,29
105/04/19,X1,12
105/04/19,X2,41
105/04/19,X3,47
105/04/19,X4,46
105/04/19,X5,39
105/04/19,X6,21
105/04/19,S,14
105/04/15,X1,28
105/04/15,X2,47
105/04/15,X3,13
105/04/15,X4,45
105/04/15,X5,17
105/04/15,X6,9
105/04/15,S,3
105/04/12,X1,19
105/04/12,X2,11
105/04/12,X3,49
105/04/12,X4,45
105/04/12,X5,39
105/04/12,X6,14
105/04/12,S,23
105/04/08,X1,36
105/04/08,X2,45
105/04/08,X3,7
105/04/08,X4,30
105/04/08,X5,13
105/04/08,X6,2
105/04/08,S,43
105/04/05,X1,14
105/04/05,X2,32
105/04/05,X3,38
105/04/05,X4,43
105/04/05,X5,23
105/04/05,X6,26
105/04/05,S,3
105/04/01,X1,39
105/04/01,X2,12
